﻿﻿"Time","__name__","activity_factor","agent_id","average_daily_volume","average_roundtrip_volume","base_balance","base_collateral","base_loan","combined_score","exported_netuid","gentrx_score","hotkey","id","instance","inventory_value","inventory_value_change","job","kappa","kappa_penalty","kappa_score","min_daily_volume","min_roundtrip_volume","miner_gauge_name","netuid","placement","pnl","pnl_change","pnl_factor","pnl_score","quote_balance","quote_collateral","quote_loan","score","sim_id","task","total_daily_volume","total_realized_pnl","total_roundtrip_volume","unnormalized_score","wallet","Value"
2026-06-14 11:22:13.000,miners,0,67,32363,4083,17751,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,50069,325,bittensor,None,None,None,28657,0,miners,79,226,50069,325,1,None,860591,0,0,6.5e-13,20260606_1135,validator_metrics,4142528,4432,522668,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,72,25413,4684,14062,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,16888,321,bittensor,None,None,None,21494,913,miners,79,242,16888,321,1,None,2064481,0,0,3.22e-14,20260606_1135,validator_metrics,3252822,3280,599567,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,80,22372,7164,11249,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,19529,190,bittensor,None,None,None,8433,0,miners,79,231,19529,190,1,None,2941670,0,0,2.8e-13,20260606_1135,validator_metrics,2863614,2903,917025,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0.0703,157,1500,335,8516,0,0,0,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,48969,123,bittensor,0.00638,0,0,0,0,miners,79,252,48969,123,1,0,3841985,0,0,0,20260606_1135,validator_metrics,192023,447,42832,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0.469,209,34356,14202,6380,52.4,83.0,0.398,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,83613,120,bittensor,0.0409,0,0.504,0,0,miners,79,124,83613,120,1,4.22e-10,4565033,484,685,0.262,20260606_1135,validator_metrics,4397581,25867,1817908,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0.648,25,500601,250013,8204,0,0,0.394,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,68077,147,bittensor,0.0146,0,0.498,500008,249091,miners,79,177,68077,147,1,4.84e-11,3949331,0,0,0.119,20260606_1135,validator_metrics,64076867,628,32001643,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0.820,224,31169,3463,17659,0,0,0.400,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,67722,316,bittensor,0.0334,0,0.507,27495,0,miners,79,122,67722,316,1,6.55e-11,883814,0,0,0.262,20260606_1135,validator_metrics,3989670,4274,443258,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0.852,211,32437,4029,17732,0,0,0.399,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,74842,317,bittensor,0.0267,0,0.505,28736,0,miners,79,135,74842,317,1,6.56e-11,865016,0,0,0.240,20260606_1135,validator_metrics,4151887,4351,515736,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0.852,41,31220,3664,17763,0,0,0.400,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,73440,320,bittensor,0.0307,0,0.506,27689,0,miners,79,126,73440,320,1,6.88e-11,856216,0,0,0.256,20260606_1135,validator_metrics,3996127,4536,468928,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0.859,251,30487,3198,17705,0,0,0.399,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,73168,320,bittensor,0.0269,0,0.505,26875,0,miners,79,128,73168,320,1,5.09e-11,871529,0,0,0.251,20260606_1135,validator_metrics,3902387,4266,409358,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
